Payment Time,Order Time,Download time,Download by,Order status,Type of Order,paidStatus,Platform,Store Name,Member Name,Order No.,Platform Order ID,Amount,Payment Amount,COD amount,Preferential Amount,Cost Price,Profit,Product qty,Logistics Vendor,Warehouse,Logistics Costs,Recipient name,Recipient mobile number,Region,Recipient Address,Tag Name,Notes,Printing time
8/7/2024 19:15,8/7/2024 19:14,8/7/2024 19:15,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4607,TXN004607,379964,173264,0,206700,0,170264,1,****,Warehouse A,3000,****,****,,****,,,8/8/2024 12:11
8/7/2024 19:16,8/7/2024 19:16,8/7/2024 19:17,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4612,TXN004612,158642,102692,0,55950,0,95692,1,****,Warehouse A,7000,****,****,,****,,,8/8/2024 12:11
8/7/2024 19:17,8/7/2024 19:17,8/7/2024 19:17,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4613,TXN004613,384098,0,192358,191740,0,192358,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:20
8/7/2024 19:17,8/7/2024 19:17,8/7/2024 19:17,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4614,TXN004614,376516,0,169416,207100,0,144416,1,****,Warehouse A,25000,****,****,,****,,,8/8/2024 12:02
8/7/2024 19:17,8/7/2024 19:17,8/7/2024 19:18,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4615,TXN004615,172542,0,92092,80450,0,88092,1,****,Warehouse A,4000,****,****,,****,,,8/8/2024 13:15
8/7/2024 19:20,8/7/2024 19:19,8/7/2024 19:20,system,To Be Shipped,Sales Order,,Platform A,Store A,****,OrderNo4617,TXN004617,241500,241500,0,0,0,226500,1,****,Warehouse A,15000,****,****,,****,,,8/8/2024 12:11
8/7/2024 19:23,8/7/2024 19:23,8/7/2024 19:23,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4623,TXN004623,405650,0,172900,232750,0,172900,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:05
8/7/2024 19:25,8/7/2024 19:21,8/7/2024 19:25,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4625,TXN004625,85800,85800,0,0,0,67300,1,****,Warehouse A,18500,****,****,,****,,,8/8/2024 12:13
8/7/2024 19:25,8/7/2024 19:25,8/7/2024 19:25,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4626,TXN004626,148204,0,83304,64900,0,83304,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 11:51
8/7/2024 19:25,8/7/2024 19:25,8/7/2024 19:25,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4627,TXN004627,822637,0,328564,494073,0,328564,4,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:03
8/7/2024 19:28,8/7/2024 19:28,8/7/2024 19:28,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4629,TXN004629,348399,171549,0,176850,0,171549,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 11:42
